time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl,precipitation,cloudcover,day_of_week,month,log_pm10,log_pm2_5,log_carbon_monoxide,log_nitrogen_dioxide,log_sulphur_dioxide,log_wind_speed_10m,log_cloudcover,AQI,hour,day,AQI_change_rate,AQI_rolling_mean_3hr,AQI_rolling_mean_6hr,PM2_5_rolling_mean_3hr,PM10_rolling_mean_3hr,temp_wind,humidity_pressure
2024-10-01 00:00:00,147.37,122.47,2990.72,93.22,7.09,0.31,24.6,73.0,7.3,1007.3,0.0,0.0,Tuesday,10,5.0,4.82,8.0,4.55,2.09,2.12,0.0,185.579,0,1,0.0,185.579,185.579,122.47,147.37,179.58,0.072
2024-10-01 01:00:00,136.25,113.73,2429.96,78.83,6.02,4.6,23.3,77.0,6.6,1006.8,0.0,0.0,Tuesday,10,4.92,4.74,7.8,4.38,1.95,2.03,0.0,181.066,1,1,-4.513,183.322,183.322,118.1,141.81,153.78,0.076
2024-10-01 02:00:00,122.54,101.89,1949.31,56.89,5.25,21.64,23.5,71.0,8.1,1006.0,0.0,0.0,Tuesday,10,4.82,4.63,7.58,4.06,1.83,2.21,0.0,174.953,2,1,-6.113,180.533,180.533,112.697,135.387,190.35,0.071
2024-10-01 03:00:00,104.86,86.18,1548.77,38.73,4.59,38.27,24.0,66.0,8.3,1005.8,0.0,0.0,Tuesday,10,4.66,4.47,7.35,3.68,1.72,2.23,0.0,166.841,3,1,-8.112,174.287,177.11,100.6,121.217,199.2,0.066
2024-10-01 04:00:00,91.56,74.04,1308.44,29.82,4.05,37.55,23.8,67.0,8.2,1005.8,0.0,0.0,Tuesday,10,4.53,4.32,7.18,3.43,1.62,2.22,0.0,160.573,4,1,-6.268,167.456,173.802,87.37,106.32,195.16,0.067
2024-10-01 05:00:00,82.93,65.99,1214.98,28.1,3.93,30.4,22.8,72.0,8.9,1005.9,0.0,0.0,Tuesday,10,4.43,4.2,7.1,3.37,1.6,2.29,0.0,156.416,5,1,-4.156,161.277,170.905,75.403,93.117,202.92,0.072
2024-10-01 06:00:00,79.13,61.37,1308.44,34.96,4.59,15.74,23.6,72.0,7.9,1005.9,0.0,0.0,Tuesday,10,4.38,4.13,7.18,3.58,1.72,2.19,0.0,154.031,6,1,-2.385,157.007,165.647,67.133,84.54,186.44,0.072
2024-10-01 07:00:00,87.57,66.54,1895.9,47.98,6.5,1.56,24.9,72.0,6.2,1006.4,0.0,0.0,Tuesday,10,4.48,4.21,7.55,3.89,2.01,1.97,0.0,156.7,7,1,2.669,155.716,161.586,64.633,83.21,154.38,0.072
2024-10-01 08:00:00,99.89,75.6,2803.8,56.21,8.46,6.35,26.4,66.0,8.6,1006.9,0.0,0.0,Tuesday,10,4.61,4.34,7.94,4.05,2.25,2.26,0.0,161.378,8,1,4.678,157.37,159.323,67.837,88.863,227.04,0.066
2024-10-01 09:00:00,93.55,69.95,2696.99,66.49,9.78,22.89,27.0,68.0,9.7,1007.2,0.0,0.0,Tuesday,10,4.55,4.26,7.9,4.21,2.38,2.37,0.0,158.461,9,1,-2.917,158.847,157.927,70.697,93.67,261.9,0.068
2024-10-01 10:00:00,91.97,68.37,2510.07,69.92,10.61,51.5,28.4,61.0,11.6,1007.3,0.0,0.0,Tuesday,10,4.53,4.24,7.83,4.26,2.45,2.53,0.0,157.645,10,1,-0.816,159.162,157.439,71.307,95.137,329.44,0.061
2024-10-01 11:00:00,88.92,66.11,2002.72,58.26,10.85,113.01,29.4,56.0,12.0,1006.8,0.0,0.0,Tuesday,10,4.5,4.21,7.6,4.08,2.47,2.56,0.0,156.478,11,1,-1.167,157.528,157.449,68.143,91.48,352.8,0.056
2024-10-01 12:00:00,71.72,49.42,934.6,16.96,15.5,188.83,30.1,55.0,11.9,1005.9,0.0,0.0,Tuesday,10,4.29,3.92,6.84,2.89,2.8,2.56,0.0,135.275,12,1,-21.203,149.8,154.323,61.3,84.203,358.19,0.055
2024-10-01 13:00:00,77.01,52.42,821.11,10.88,16.69,214.58,30.6,55.0,10.3,1005.1,0.0,0.0,Tuesday,10,4.36,3.98,6.71,2.47,2.87,2.42,0.0,142.662,13,1,7.387,144.805,151.983,55.983,79.217,315.18,0.055
2024-10-01 14:00:00,80.9,54.32,827.79,10.8,18.84,226.02,31.0,50.0,8.8,1004.1,0.0,0.0,Tuesday,10,4.41,4.01,6.72,2.47,2.99,2.28,0.0,147.341,14,1,4.678,141.759,149.644,52.053,76.543,272.8,0.05
2024-10-01 15:00:00,95.57,66.68,1361.85,36.67,13.83,200.27,31.1,48.0,7.9,1003.8,0.0,0.0,Tuesday,10,4.57,4.21,7.22,3.63,2.7,2.19,0.0,156.773,15,1,9.432,148.925,149.362,57.807,84.493,245.69,0.048
2024-10-01 16:00:00,117.9,87.11,2243.04,78.83,10.61,151.63,30.5,51.0,6.1,1003.5,0.0,1.0,Tuesday,10,4.78,4.48,7.72,4.38,2.45,1.96,0.69,167.321,16,1,10.549,157.145,150.975,69.37,98.123,186.05,0.051
2024-10-01 17:00:00,135.06,102.06,3177.64,131.61,10.85,76.53,29.1,64.0,3.0,1003.8,0.0,1.0,Tuesday,10,4.91,4.64,8.06,4.89,2.47,1.39,0.69,175.04,17,1,7.719,166.378,154.069,85.283,116.177,87.3,0.064
2024-10-01 18:00:00,160.53,124.05,4592.9,189.445,15.5,7.06,26.2,69.0,5.2,1004.3,0.0,1.0,Tuesday,10,5.08,4.83,8.43,5.25,2.8,1.82,0.69,186.395,18,1,11.354,176.252,162.589,104.407,137.83,136.24,0.069
2024-10-01 19:00:00,198.88,157.52,5888.17,189.445,22.17,0.0,25.3,63.0,4.6,1004.7,0.0,0.0,Tuesday,10,5.3,5.07,8.68,5.25,3.14,1.72,0.0,207.957,19,1,21.562,189.797,173.471,127.877,164.823,116.38,0.063
2024-10-01 20:00:00,235.56,189.09,5888.17,189.445,27.42,0.0,25.0,56.0,5.1,1005.2,0.0,0.0,Tuesday,10,5.47,5.25,8.68,5.25,3.35,1.81,0.0,239.242,20,1,31.286,211.198,188.788,156.887,198.323,127.5,0.056
2024-10-01 21:00:00,279.74,225.58,5888.17,189.445,28.815,0.0,25.6,53.0,5.5,1005.4,0.0,0.0,Tuesday,10,5.64,5.42,8.68,5.25,3.4,1.87,0.0,275.402,21,1,36.16,240.867,208.56,190.73,238.06,140.8,0.053
2024-10-01 22:00:00,282.63,225.58,5888.17,189.445,28.815,0.0,27.9,41.0,5.0,1005.3,0.0,0.0,Tuesday,10,5.65,5.42,8.68,5.25,3.4,1.79,0.0,275.402,22,1,0.0,263.349,226.573,213.416,265.978,139.5,0.041
2024-10-01 23:00:00,282.63,225.58,5888.17,189.445,28.815,0.0,30.3,31.0,1.9,1005.3,0.0,0.0,Tuesday,10,5.65,5.42,8.68,5.25,3.4,1.06,0.0,275.402,23,1,0.0,275.402,243.3,225.579,281.668,57.57,0.031
2024-10-02 00:00:00,282.63,225.58,5888.17,189.445,28.815,0.0,30.1,31.0,1.9,1005.4,0.0,0.0,Wednesday,10,5.65,5.42,8.68,5.25,3.4,1.06,0.0,275.402,0,2,0.0,275.402,258.135,225.579,282.633,57.19,0.031
2024-10-02 01:00:00,282.63,225.58,5888.17,189.445,28.815,0.0,30.1,32.0,1.7,1005.2,0.0,0.0,Wednesday,10,5.65,5.42,8.68,5.25,3.4,0.99,0.0,275.402,1,2,0.0,275.402,269.376,225.579,282.633,57.19,0.032
2024-10-02 02:00:00,268.14,206.98,5821.23,189.445,28.815,0.0,29.0,35.0,3.9,1005.0,0.0,0.0,Wednesday,10,5.6,5.34,8.67,5.25,3.4,1.59,0.0,256.971,2,2,-18.431,269.259,272.33,219.379,277.802,49.3,0.035
2024-10-02 03:00:00,243.23,186.23,4806.52,157.65,28.815,0.01,28.8,36.0,1.1,1004.9,0.0,0.0,Wednesday,10,5.5,5.23,8.48,5.07,3.4,0.74,0.0,236.408,3,2,-20.563,256.261,265.831,206.263,264.667,112.32,0.036
2024-10-02 04:00:00,219.98,166.46,3898.62,128.87,26.94,0.13,29.0,37.0,2.7,1005.1,0.0,0.0,Wednesday,10,5.4,5.12,8.27,4.87,3.33,1.31,0.0,216.816,4,2,-19.592,236.732,256.067,186.557,243.783,31.9,0.037
2024-10-02 05:00:00,199.69,148.22,3231.05,101.45,24.56,0.47,28.8,38.0,4.4,1005.4,0.0,0.0,Wednesday,10,5.3,5.01,8.08,4.63,3.24,1.69,0.0,198.874,5,2,-17.942,217.366,243.312,166.97,220.967,77.76,0.038
2024-10-02 06:00:00,177.49,127.13,2670.29,75.4,19.55,0.73,24.1,59.0,7.4,1006.3,0.0,0.0,Wednesday,10,5.18,4.85,7.89,4.34,3.02,2.13,0.0,187.985,6,2,-10.889,201.225,228.743,147.27,199.053,106.04,0.059
2024-10-02 07:00:00,176.89,125.33,3070.83,69.92,17.4,0.66,25.6,58.0,6.5,1006.7,0.0,0.0,Wednesday,10,5.18,4.84,8.03,4.26,2.91,2.01,0.0,187.056,7,2,-0.929,191.305,214.018,133.56,184.69,189.44,0.058
2024-10-02 08:00:00,198.4,143.81,4379.27,80.88,19.07,5.81,28.5,50.0,4.8,1007.3,0.0,0.0,Wednesday,10,5.3,4.98,8.38,4.41,3.0,1.76,0.0,196.597,8,2,9.542,190.546,203.956,132.09,184.26,185.25,0.05
2024-10-02 09:00:00,207.18,153.51,4539.49,102.82,20.5,20.92,29.1,46.0,3.5,1007.7,0.0,0.0,Wednesday,10,5.34,5.04,8.42,4.64,3.07,1.5,0.0,203.983,9,2,7.386,195.879,198.552,140.883,194.157,139.68,0.046
2024-10-02 10:00:00,241.46,186.64,4966.74,138.46,22.17,49.35,29.6,47.0,2.5,1008.1,0.0,0.0,Wednesday,10,5.49,5.23,8.51,4.94,3.14,1.25,0.0,236.814,10,2,32.832,212.465,201.885,161.32,215.68,103.6,0.047
2024-10-02 11:00:00,282.63,225.58,5287.17,165.88,24.32,117.3,30.0,50.0,4.2,1007.7,0.0,0.0,Wednesday,10,5.65,5.42,8.57,5.12,3.23,1.65,0.0,275.402,11,2,38.588,238.733,214.64,188.576,243.758,75.0,0.05
2024-10-02 12:00:00,170.84,131.62,1789.09,47.98,28.815,251.77,30.5,52.0,6.7,1006.9,0.0,0.0,Wednesday,10,5.15,4.89,7.49,3.89,3.4,2.04,0.0,190.303,12,2,-85.099,234.173,215.026,181.28,231.644,128.1,0.052
2024-10-02 13:00:00,151.17,113.68,1241.68,23.65,28.815,257.815,31.0,50.0,8.1,1006.2,0.0,0.0,Wednesday,10,5.02,4.74,7.13,3.2,3.4,2.21,0.0,181.04,13,2,-9.263,215.582,214.023,156.96,201.548,207.7,0.05
2024-10-02 14:00:00,140.7,102.69,1094.82,16.11,28.815,257.815,31.3,47.0,7.9,1005.2,0.0,0.0,Wednesday,10,4.95,4.64,7.0,2.84,3.4,2.19,0.0,175.366,14,2,-5.674,182.236,210.485,115.997,154.237,253.53,0.047
