time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl,precipitation,cloudcover,day_of_week,month
2025-10-12 01:00:00,146.11,64.93,439.62,8.38,1.66,56.44,16.7,71.0,4.7,1011.8,0.0,0.0,Sunday,October
2025-10-12 02:00:00,150.89,66.15,418.94,6.97,1.58,56.77,16.8,69.0,3.6,1011.4,0.0,0.0,Sunday,October
2025-10-12 03:00:00,154.54,66.65,395.09,5.74,1.56,57.81,16.7,68.0,3.1,1011.0,0.0,0.0,Sunday,October
2025-10-12 04:00:00,160.29,67.55,374.03,4.79,1.67,60.08,16.4,69.0,2.1,1010.9,0.0,0.0,Sunday,October
2025-10-12 05:00:00,167.94,69.02,356.78,4.15,1.98,63.61,16.7,68.0,2.0,1010.9,0.0,0.0,Sunday,October
2025-10-12 06:00:00,176.24,70.43,346.07,4.06,2.57,67.07,16.5,70.0,1.3,1011.3,0.0,0.0,Sunday,October
2025-10-12 07:00:00,183.95,72.15,363.81,5.69,3.4,68.5,16.6,74.0,2.6,1012.0,0.0,0.0,Sunday,October
2025-10-12 08:00:00,193.42,74.85,412.33,8.82,4.43,70.3,18.7,68.0,2.3,1012.7,0.0,0.0,Sunday,October
2025-10-12 09:00:00,185.34,72.34,447.88,9.92,4.93,83.32,21.3,63.0,0.6,1013.3,0.0,0.0,Sunday,October
2025-10-12 10:00:00,174.18,68.64,458.67,9.04,4.35,89.69,23.6,58.0,2.2,1013.1,0.0,0.0,Sunday,October
2025-10-12 11:00:00,170.05,67.77,436.57,6.93,3.89,101.37,25.7,53.0,3.6,1012.8,0.0,0.0,Sunday,October
2025-10-12 12:00:00,133.68,52.97,265.07,1.27,4.66,136.5,27.1,46.0,5.9,1012.1,0.0,0.0,Sunday,October
2025-10-12 13:00:00,107.68,44.72,245.69,0.82,3.71,139.57,28.0,40.0,6.9,1011.3,0.0,0.0,Sunday,October
2025-10-12 14:00:00,101.73,42.85,239.39,0.83,3.42,139.73,28.4,36.0,7.1,1010.5,0.0,0.0,Sunday,October
2025-10-12 15:00:00,104.45,44.79,255.43,1.79,3.35,134.31,28.4,37.0,5.5,1010.2,0.0,0.0,Sunday,October
2025-10-12 16:00:00,111.73,48.63,288.63,3.76,3.31,122.98,27.8,47.0,2.8,1010.0,0.0,0.0,Sunday,October
