Feature,Importance
pm2_5,0.9390873583034888
log_pm2_5,0.06019367652384739
aqi_change_rate,0.00046263817850874736
month,9.085444490552626e-05
aqi_rolling_mean_3hr,5.225066965737069e-05
ozone,1.913727445761246e-05
log_pm10,1.2313040237778667e-05
carbon_monoxide,1.058239794447093e-05
pm10,1.0577976430882874e-05
log_sulphur_dioxide,7.997249501538638e-06
pm10_rolling_mean_3hr,6.988091679685886e-06
humidity_pressure,6.824948205755994e-06
day,5.080833649174578e-06
wind_speed_10m,4.6463300034569755e-06
pressure_msl,4.321359859662118e-06
sulphur_dioxide,4.027691033482865e-06
aqi_rolling_mean_6hr,3.776759543461164e-06
pm2_5_rolling_mean_3hr,3.0217401117328204e-06
hour,2.0875593651168584e-06
log_carbon_monoxide,2.0303103282179954e-06
temperature_2m,1.921439302373317e-06
log_wind_speed_10m,1.878729820958212e-06
relative_humidity_2m,1.5244407290436493e-06
temp_wind,9.826274119884874e-07
log_nitrogen_dioxide,7.512484163141939e-07
log_cloudcover,7.387209109377645e-07
day_of_week_Friday,5.438676794529511e-07
nitrogen_dioxide,3.6695886034134506e-07
day_of_week_Wednesday,3.2614640668096677e-07
day_of_week_Thursday,2.451453053576755e-07
day_of_week_Tuesday,1.9334061128214684e-07
day_of_week_Saturday,1.5846123518087175e-07
cloudcover,1.3225004924460769e-07
day_of_week_Sunday,3.845540162393978e-08
day_of_week_Monday,6.48509942698455e-09
precipitation,0.0
